"specials.name.a_cozy_break","استراحة مريحة"
"specials.name.toon_link","الوصلة الكرتونية"
"specials.name.toon_mirror","المرآة الكرتونية"
"specials.name.toon_mist","ضباب كرتون"
"specials.name.toon_of_the_depths","كرتونية الأعماق"
"specials.name.toon_of_the_seas","كرتون البحار"
"specials.name.toon_prowess","البراعة الكرتونية"
"specials.name.toon_riposte","الرد الكرتوني"
"specials.name.toon_shot","الطلقة الكرتونية"
"specials.name.toon_slam","صفع كرتون"
"specials.name.toon_slash","تمزيق الكرتون"
"specials.name.toon_stab","الطعنة الكرتونية"
"specials.name.toon_stars","نجوم الكرتون"
"specials.name.toon_storm","عصف كرتون"
"specials.name.toon_strike","الهجمة الكرتونية"
"specials.name.toon_tide","المد والجزر الكرتوني"
"specials.name.toon_traps","فخاخ الكرتون"
"specials.name.toon_ultimatum","الإنذار الكرتوني"
"specials.name.toon_vines","كرمة كرتون"
"specials.name.toon_wave","الموجة الكرتونية"
"specials.name.toon_waza","المهارة الكرتونية"
"specials.name.toonball","كرة الكرتون"
"specials.name.tooncry","صرخة الكرتون"
"specials.name.toonpower_pulverizer","ساحق القوة الكرتونية"
"specials.name.toons_luck","الحظ الكرتوني"
"specials.name.toons_order","نظام الكرتون"
"specials.name.toontastic_feast","الوليمة الرائعة الكرتونية"
"specials.name.toontastic_fog","الضباب الكرتوني الرائع"
"specials.name.toontastic_link","الوصلة الكرتونية الرائعة"
"specials.name.toontastic_protection","الحماية الرائعة الكرتونية"
"specials.name.toontastic_pulverizer","الساحق الكرتوني"
"specials.name.toontastic_riposte","الرد الكرتوني"
"specials.name.toontastic_smash","السحق الكرتوني الرائع"
"specials.name.toontastic_strike","الضربة الكرتونية الرائعة"
"specials.name.total_beatdown","هزيمة ساحقة"
"specials.name.tough_love","مدفع الحب"
"specials.name.towers_curse","الرياح الرملية"
"specials.name.toxic_berry_blast","انفجار التوت السام"
"specials.name.toxic_bile","العصارة السامة"
"specials.name.toxic_flames","نيران سامّة"
"specials.name.toxic_fumes","أدخنة سامّة"
"specials.name.toxic_gas_cloud","سحابة الغاز السام"
"specials.name.toxic_headbutt","ضربة الرأس السامة"
"specials.name.toxic_incense","البخور السام"
"specials.name.toxic_spit","بصاق سام"
"specials.name.toxic_stinger","اللادغ السام"
"specials.name.toxic_traps","أفخاخ سامة"
"specials.name.toxic_tricks","خدع سامة"
"specials.name.toxicadendra","النمو المتسارع"
"specials.name.trainer_blast","امتياز المدرب"
"specials.name.trainer_dummy_fights_back","دمية المدرب تحارب!"
"specials.name.trainer_dummy_repair","إصلاح دمية المدرب!"
"specials.name.trainer_slash","ضربة المدرب"
"specials.name.tranquil_mist","الضباب الهادئ"
"specials.name.transcendental_charge","الهجوم الخارق"
"specials.name.transcendental_frame","الإطار الخارق"
"specials.name.transfigure","التحول"
"specials.name.travelers_snack","وجبة المسافر"
"specials.name.treasure_ale","شراب الكنز"
"specials.name.trial_of_darkness","اختبار الظلام"
"specials.name.trial_of_fauna","اختبار الحيوانات"
"specials.name.trial_of_fire","اختبار النار"
"specials.name.trial_of_flames","اختبار ألسنة اللهب"
"specials.name.trial_of_flora","اختبار النباتات"
"specials.name.trial_of_frost","اختبار الصقيع"
"specials.name.trial_of_ice","اختبار الثلج"
"specials.name.trial_of_nature","اختبار الطبيعة"
"specials.name.trial_of_pain","اختبار الألم"
"specials.name.trial_of_the_moon","اختبار القمر"
"specials.name.trial_of_the_sun","اختبار الشمس"
"specials.name.trial_of_the_waters","اختبار الماء"
"specials.name.tribal_rage","غضب القبائل"
"specials.name.tribal_rage_pve","غضب القبائل"
"specials.name.trick_of_the_trade","حيل المهنة"
"specials.name.trickster_grenades","قنابل المخادع"
"specials.name.tricksters_buff","زجاجة"
"specials.name.tricksters_damage","سيوف"
"specials.name.tricksters_exchange","مناورة المخادع"
"specials.name.tricksters_lullaby","صيحة المخادع"
"specials.name.tricksters_malice","خبث المخادع"
"specials.name.tricksters_mischief","أذى المخادعة"
"specials.name.tricksters_negative","جمّد"
"specials.name.tricksters_transformation","تحول المخادع"
"specials.name.triple_stab","الطعنة الثلاثية"
"specials.name.triumph_of_strategy","انتصار الإستراتيجية"
"specials.name.tropical_ambush","الكمين الاستوائي"
"specials.name.tumbling_dragon","التنين المتراجع"
"specials.name.tumbling_dragon2","التنين المتراجع"
"specials.name.turquoise_falcon","الصقر الفيروزي"
"specials.name.twilight_of_crimes","شفق الجرائم"
"specials.name.twilight_of_ruin","شفق الدمار"
"specials.name.twilight_of_sorrow","شفق الأسى"
"specials.name.twilight_star_strike","ضربة نجم الشفق"
"specials.name.twilight_tricks","خدع الشفق"
"specials.name.twist_of_fate","تبدّل المصير"
"specials.name.twist_of_fate_minor","المصير الغريب"
"specials.name.two_sword_technique","أسلوب السيفين"
"specials.name.twostep_swing","أرجوحة ذات خطوتين"
"specials.name.ultimate_giftsack","كيس الهدايا الأروع"
"specials.name.unbreakable_brawler","المشاكس الصلب"
"specials.name.unbroken_assault","الهجوم الذي لا يُردع"
"specials.name.unchained_jaws","الفكان المتحرران"
"specials.name.unchained_jaws_ultimate_boss","الفكان المتحرران"
"specials.name.undead_obliteration","طامس زومبي"
"specials.name.undead_penance_poetic","تكفير الموتى الأحياء"
"specials.name.undead_rage","سهم الشعوذة"
"specials.name.undead_razer","الهادم من الموتى الأحياء"
"specials.name.under_the_surf","تحت الأمواج"
"specials.name.underwater_magma_cube","مكعب الماغما تحت الماء"
"specials.name.underwater_riddle","ألغاز تحت الماء"
"specials.name.undying_heads","الرؤوس الخالدة"
"specials.name.undying_heads_ultimate_boss","رؤوس الهيدرا"
"specials.name.undying_incantation","التعويذة الخالدة"
"specials.name.undying_summon","الاستدعاء الخالد"
"specials.name.unerring_course","مسار بلا أخطاء"
"specials.name.unfeeling_assailing","اعتداء عديم الشعور"
"specials.name.unhallowed_spirits","الأرواح المدنسة"
"specials.name.unholy_light","الضوء الآثم"
"specials.name.unholy_power","قوة غير مبجلة"
"specials.name.unholy_rain","المطر الآثم"
"specials.name.unite_and_oppose","المعارضة والإطاحة"
"specials.name.unnatural_pact","ملتهم النشاط"
"specials.name.unrelenting_hunter","صياد لا يلين"
"specials.name.unrelenting_riposte","رد لا يلين"
"specials.name.unstoppable_charge","هجوم لا يمكن إيقافه"
"specials.name.unstoppable_growl","زمجرة لا يمكن وقفها"
"specials.name.unwavering_devotion","الإخلاص الراسخ"
"specials.name.unwavering_devotion_pve","الإخلاص الراسخ"
"specials.name.unwavering_focus","تركيز لا يتزعزع"
"specials.name.unyielding_protector","الحامي الصلب"
"specials.name.unyielding_stance","وضعية صلبة"
"specials.name.unyielding_sword","السيف الصلب"
"specials.name.urgent_gift_delivery","توصيل هدية عاجلة"
"specials.name.ursine_protection","حماية أورسين"
"specials.name.urumi_lashing","الجلد بالأورومي"
"specials.name.valiant_lunge","اندفاع الشجاعة"
"specials.name.valkyrie_charge","تعبئة فالكيري"
"specials.name.valkyrie_defense","دفاع فالكيري"
"specials.name.valkyrie_resistance","مقاومة فالكيري"
"specials.name.valkyrie_rush","اقتحام فالكيري"
"specials.name.valkyries_fortitude","صرامة فالكيري"
"specials.name.valorant_strike","ضربة فالورانت"
"specials.name.valuable_contribution","مساهمة ثمينة"
"specials.name.vampire_killer","قاتل مصاصي الدماء"
"specials.name.vampiric_cleave","شق مصاصي الدماء"
"specials.name.vampiric_curse","لعنة مصاصي الدماء"
"specials.name.vampiric_heist","سرقة مصاص الدماء"
"specials.name.vampiric_touch","لمسة مصاصي الدماء"
"specials.name.vanguard_of_passion","طليعة الجيش الشغوف"
"specials.name.vantage_point","نقطة الأفضلية"
"specials.name.vapors_of_the_underworld","أبخرة العالم السفلي"
"specials.name.vast_ward","الحراسة المشددة"
"specials.name.vengeance_of_owlhalla","انتقام بومة فالهالا"
"specials.name.vengeful_backstab","طعنة الانتقام الخلفية"
"specials.name.vengeful_scythe","منجل الانتقام"
"specials.name.venom_guard","حارس سام"
"specials.name.venom_hunt","صيد السم"
"specials.name.venom_slash","ضربة السم"
"specials.name.venomfang_concoction","مزيج السموم"
"specials.name.venomous_claws","المخالب السامة"
"specials.name.venomous_jab","طعنة سامة"
"specials.name.venomous_spores","البوغ السام"
"specials.name.venomous_sting_dragon_pve","لدغة سامة"
"specials.name.verdant_guard","الحارس الأخضر"
"specials.name.verdant_mirror","المرآة الخضراء"
"specials.name.verdant_trap","الفخ الأخضر"
"specials.name.vertical_slash","شطب عمودي"
"specials.name.vibrant_whistle","صافرة قوية"
"specials.name.vicious_axe","الفأس الشرس"
"specials.name.vicious_cyclone","الإعصار العنيف"
"specials.name.vicious_strike","الضربة الشرسة"
"specials.name.vicious_trap","الفخ الشرس"
"specials.name.vigilante_punch","لكمة المقتص"
"specials.name.vigorous_aegis","الدرع القوي"
"specials.name.vigorous_villanelle","فيلانيل القوي"
"specials.name.vile_blessing","لعنة مُضعِفة"
"specials.name.villain_swing","تسديدة الشرير"
"specials.name.viper_blade","نصل الأفعى"
"specials.name.viper_blade_costume_bear_slayer","نصل الدب"
"specials.name.viscous_shield_justico","درع لزج"
"specials.name.vitalizing_show","إظهار سبيكتيكال"
"specials.name.vitrail_flames","لهيب فيتريل"
"specials.name.viziers_curse","الرياح الرملية"
"specials.name.voice_of_authority","صوت السلطة"
"specials.name.void_blast","انفجار فارغ"
"specials.name.void_bomb","قنبلة العدم"
"specials.name.void_orb_dragon_pve","مدار العدم"
"specials.name.voidshield","درع تالف"
"specials.name.volatile_crystal_conduit","قناة بلورية متطايرة"
"specials.name.volcanic_blast","انفجار بركاني"
"specials.name.volcanic_boulders","صخور بركانية"
"specials.name.volcanic_eruption","انفجار بركاني"
"specials.name.volcanic_explosion","انفجار بركاني"
"specials.name.volcanic_flareup","اشتعال بركاني"
"specials.name.volcanic_rush","اندفاع بركاني"
"specials.name.volcanic_shell","صخرة بركانية"
"specials.name.volcanic_tantrum","انفجار كرتوني"
"specials.name.volley_of_dark_stars","وابل من نجوم الظلام"
"specials.name.voluminous_vigor","القوة الهائلة"
"specials.name.wall_of_ice","جدار الجليد"
"specials.name.wall_of_ki","حائط كي"
"specials.name.wall_of_ki2","حائط كي"
"specials.name.wall_of_swords","جدار من السيوف"
"specials.name.wallet_pulverizer","أباكوس الساحق"
"specials.name.wand_of_mana_control","عصا سحرية للتحكم في القوة"
"specials.name.wand_of_mana_trickery","مكر عصا القوة"
"specials.name.wandering_star_shot","إطلاق النجمة الجائلة"
"specials.name.war_feast","وليمة الحرب"
"specials.name.war_song","أغنية الحرب"
"specials.name.warcry","نداء الجيوش"
"specials.name.warcry_of_the_hunt","صيحة الصيد"
"specials.name.warcry_of_the_jungle","صرخة من الغابة"
"specials.name.warding_off_evil","التصدي للشر"
"specials.name.warped_timepiece","ساعة مشوهة"
"specials.name.watchful_duty","الواجب الحذر"
"specials.name.water_jet_dragon_pve","نافورة ماء"
"specials.name.waters_of_nourishment","مياه النمو"
"specials.name.watery_grave","القبر المائي"
"specials.name.weakening_strike","ضربة الإضعاف"
"specials.name.web_of_spies","شبكة الجواسيس"
"specials.name.welding_sweep_dragon_pve","اجتياح اللحام"
"specials.name.whimsical_aid","المساعدة الغريبة"
"specials.name.whirlpool","دوامة"
"specials.name.whirlpool_dash","اندفاع الدوامة"
"specials.name.whirlwind_blows","ضربات العاصفة"
"specials.name.whispers_of_xulu","همسات زولو"
"specials.name.whiteout","الغموض"
"specials.name.wicked_witchcraft","السحر الشرير"
"specials.name.wide_slash","الضربة الواسعة"
"specials.name.widows_kiss","قبلة الأرملة"
"specials.name.wild_cleave","شق بري"
"specials.name.wild_growth","ازدهار بري"
"specials.name.will_of_fire","إرادة النار"
"specials.name.wily_wisps","حوريات ماكرات"
"specials.name.wind_gospel","إنجيل الرياح"
"specials.name.wind_prayer","دعاء الرياح"
"specials.name.wings_of_destruction_pve","أجنحة الدمار"
"specials.name.wings_of_force","أجنحة القوة"
"specials.name.wings_of_frost","أجنحة الصقيع"
"specials.name.wings_of_laceration","أجنحة الجرح"
"specials.name.wings_of_recovery","أجنحة الاسترداد"
"specials.name.wings_of_shadow","أجنحة الظل"
"specials.name.wings_of_thorn","أجنحة الشوك"
"specials.name.wisdom_of_the_gnomes","حكمة الأقزام"
"specials.name.wise_mans_counsel","نصيحة الرجل الحكيم"
"specials.name.witch_killer","قاتل الساحرات"
"specials.name.witch_slayer","ذابح الساحرات"
"specials.name.withering_seasons","مواسم التلف"
"specials.name.wolf_bite","عضة ذئب"
"specials.name.word_of_queen","كلمة الملكة"
"specials.name.word_of_skies","كلمة السماوات"
"specials.name.worm_bite","العضة النابشة"
"specials.name.wounding_strike","الضربة الجارحة"
"specials.name.wrap","غلاف"
"specials.name.wrath_of_fate","غضب القدر"
"specials.name.wrath_of_frozen_soul","غضب الروح الثلجية"
"specials.name.wrath_of_the_ancient","غضب القدماء"
"specials.name.wrath_of_the_nine_beaks","غضب المناقير التسعة"
"specials.name.wrath_of_tundra","حنق تندرا"
"specials.name.wrathful_sting","لسعة الغضب"
"specials.name.wrenching_strike","ضربة موجعة"
"specials.name.xenda_special","لهب العالم السفلي"
"specials.name.xenda_special_costume","لهب العالم السفلي"
"specials.name.yellow_beetloid_bite","عضة بيتلويد صفراء"
"specials.name.yellow_signs","إشارات صفراء"
"specials.name.yurei","الشبح"
"specials.name.zombie_curse","بركة الزومبي"
"specials.name.zombie_invocation","استحضار الزومبي"
"specials.name.zooming_lunge","الاندفاع السريع"
