"specials.name.a_cozy_break","Eine gemütliche Pause"
"specials.name.undead_rage","Beschwörungspfeil"
"specials.name.undead_razer","Untoter Razer"
"specials.name.under_the_surf","Unter der Brandung"
"specials.name.underwater_magma_cube","Unterwasser-Magmawürfel"
"specials.name.underwater_riddle","Unterwasserrätsel"
"specials.name.undying_heads","Unsterbliche Köpfe"
"specials.name.undying_heads_ultimate_boss","Hydraköpfe"
"specials.name.undying_incantation","Unsterbliche Zauberformel"
"specials.name.undying_summon","Unsterbliche Beschwörung"
"specials.name.unerring_course","Unbeirrbarer Kurs"
"specials.name.unfeeling_assailing","Gefühlloser Ansturm"
"specials.name.unhallowed_spirits","Ungeweihte Geister"
"specials.name.unholy_light","Unheiliges Licht"
"specials.name.unholy_power","Unheilige Kraft"
"specials.name.unholy_rain","Unheiliger Regen"
"specials.name.unite_and_oppose","Entgegentreten und umstürzen"
"specials.name.unnatural_pact","Verschlinger der Lebenskraft"
"specials.name.unrelenting_hunter","Erbarmungsloser Jäger"
"specials.name.unrelenting_riposte","Unnachgiebiger Konter"
"specials.name.unstoppable_charge","Unaufhaltbarer Ansturm"
"specials.name.unstoppable_growl","Unaufhaltsames Knurren"
"specials.name.unwavering_devotion","Unnachgiebige Hingabe"
"specials.name.unwavering_devotion_pve","Unnachgiebige Hingabe"
"specials.name.unwavering_focus","Unbeirrter Fokus"
"specials.name.unyielding_protector","Unnachgiebiger Beschützer"
"specials.name.unyielding_stance","Unnachgiebige Haltung"
"specials.name.unyielding_sword","Unnachgiebiges Schwert"
"specials.name.urgent_gift_delivery","Dringende Geschenke-Lieferung"
"specials.name.ursine_protection","Bärenschutz"
"specials.name.valiant_lunge","Kühner Sprung"
"specials.name.valkyrie_charge","Walkürenangriff"
"specials.name.valkyrie_defense","Walkürenverteidigung"
"specials.name.valkyrie_resistance","Walkürenwiderstand"
"specials.name.valkyrie_rush","Walkürenangriff"
"specials.name.valkyries_fortitude","Stärke der Walküre"
"specials.name.valorant_strike","Tapferer Schlag"
"specials.name.valuable_contribution","Wertvoller Beitrag"
"specials.name.vampire_killer","Vampirkiller"
"specials.name.vampiric_cleave","Vampirhieb"
"specials.name.vampiric_curse","Vampirfluch"
"specials.name.vampiric_heist","Vampirraub"
"specials.name.vampiric_touch","Biss des Vampirs"
"specials.name.vanguard_of_passion","Vorhut der Leidenschaft"
"specials.name.vantage_point","Aussichtspunkt"
"specials.name.vapors_of_the_underworld","Dämpfe der Unterwelt"
"specials.name.vast_ward","Robuster Schützling"
"specials.name.vengeance_of_owlhalla","Rache von Eulhalla"
"specials.name.vengeful_backstab","Rachsüchtiger Verrat"
"specials.name.vengeful_scythe","Vergeltungssense"
"specials.name.venom_slash","Giftschlag"
"specials.name.venomfang_concoction","Giftzahngebräu"
"specials.name.venomous_claws","Giftklauen"
"specials.name.venomous_jab","Giftiger Schlag"
"specials.name.venomous_spores","Giftige Sporen"
"specials.name.venomous_sting_dragon_pve","Giftstachel"
"specials.name.verdant_mirror","Grüner Spiegel"
"specials.name.verdant_trap","Grüne Falle"
"specials.name.vertical_slash","Vertikalhieb"
"specials.name.vicious_axe","Grausame Axt"
"specials.name.vicious_cyclone","Grausamer Zyklon"
"specials.name.vicious_strike","Bösartiger Schlag"
"specials.name.vicious_trap","Grausame Falle"
"specials.name.vigilante_punch","Rächerschlag"
"specials.name.vigorous_aegis","Aegis-Wache"
"specials.name.vigorous_villanelle","Stürmische Villanella"
"specials.name.vile_blessing","Fluch der Schwäche"
"specials.name.villain_swing","Schurkenschwung"
"specials.name.viper_blade","Vipernklinge"
"specials.name.viper_blade_costume_bear_slayer","Bärenklinge"
"specials.name.viscous_shield_justico","Grausamer Schild"
"specials.name.vitalizing_show","Belebendes Spektakel"
"specials.name.vitrail_flames","Vitrailflammen"
"specials.name.viziers_curse","Sandflut"
"specials.name.voice_of_authority","Stimme der Obrigkeit"
"specials.name.void_blast","Verdammnis"
"specials.name.void_bomb","Leerenbombe"
"specials.name.void_orb_dragon_pve","Leerenkugel"
"specials.name.voidshield","Leereschild"
"specials.name.volatile_crystal_conduit","Unsteter Kristallleiter"
"specials.name.volcanic_blast","Vulkanschub"
"specials.name.volcanic_boulders","Vulkanische Felsbrocken"
"specials.name.volcanic_eruption","Vulkanausbruch"
"specials.name.volcanic_explosion","Vulkanexplosion"
"specials.name.volcanic_flareup","Vulkanisches Auflodern"
"specials.name.volcanic_rush","Vulkanrausch"
"specials.name.volcanic_shell","Vulkanpanzer"
"specials.name.volcanic_tantrum","Toon-Explosion"
"specials.name.voluminous_vigor","Gewaltiger Eifer"
"specials.name.wall_of_ice","Eiswall"
"specials.name.wall_of_ki","Ki-Mauer"
"specials.name.wall_of_ki2","Ki-Mauer"
"specials.name.wall_of_swords","Schwertwall"
"specials.name.wallet_pulverizer","Pulverisierender Abakus"
"specials.name.wand_of_mana_control","Zauberstab der Manabeherrschung"
"specials.name.wand_of_mana_trickery","Manatrick-Zauberstab"
"specials.name.wandering_star_shot","Wandersternschuss"
"specials.name.war_feast","Kriegsgelage"
"specials.name.war_song","Kriegslied"
"specials.name.warcry","Schlachtruf"
"specials.name.warcry_of_the_hunt","Schlachtruf der Jagd"
"specials.name.warcry_of_the_jungle","Kriegsschrei des Dschungels"
"specials.name.warding_off_evil","Das Böse abwehren"
"specials.name.warped_timepiece","Zeitverzerrer"
"specials.name.watchful_duty","Beobachtungspflicht"
"specials.name.water_jet_dragon_pve","Wasserstrahl"
"specials.name.waters_of_nourishment","Versorgungswasser"
"specials.name.watery_grave","Seemannsgrab"
"specials.name.weakening_strike","Schwächender Schlag"
"specials.name.web_of_spies","Netz der Spione"
"specials.name.welding_sweep_dragon_pve","Schweißfegen"
"specials.name.whimsical_aid","Wunderliche Hilfe"
"specials.name.whirlpool","Strudel"
"specials.name.whirlpool_dash","Whirlpool-Spritzer"
"specials.name.whirlwind_blows","Stürmische Winde"
"specials.name.whispers_of_xulu","Flüstern von Xulu"
"specials.name.whiteout","Whiteout"
"specials.name.wicked_witchcraft","Böse Hexerei"
"specials.name.wide_slash","Breiter Hieb"
"specials.name.widows_kiss","Witwenkuss"
"specials.name.wild_cleave","Wilder Hieb"
"specials.name.wild_growth","Wildwuchs"
"specials.name.will_of_fire","Feuerwille"
"specials.name.wily_wisps","Listige Geschöpfe"
"specials.name.wind_gospel","Windgospel"
"specials.name.wind_prayer","Gebet des Windes"
"specials.name.wings_of_destruction_pve","Schwingen der Zerstörung"
"specials.name.wings_of_force","Flügel der Macht"
"specials.name.wings_of_frost","Frostflügel"
"specials.name.wings_of_laceration","Flügel der Verletzung"
"specials.name.wings_of_recovery","Flügel der Erholung"
"specials.name.wings_of_shadow","Schattenflügel"
"specials.name.wings_of_thorn","Dornenflügel"
"specials.name.wisdom_of_the_gnomes","Weisheit der Gnome"
"specials.name.wise_mans_counsel","Rat des Weisen"
"specials.name.witch_killer","Hexenkiller"
"specials.name.witch_slayer","Hexentöter"
"specials.name.withering_seasons","Zeit des Verwelkens"
"specials.name.wolf_bite","Wolfsbiss"
"specials.name.word_of_queen","Wort der Königin"
"specials.name.word_of_skies","Wort des Himmels"
"specials.name.worm_bite","Schneller Happen"
"specials.name.wounding_strike","Verwundender Schlag"
"specials.name.wrap","Umwickeln"
"specials.name.wrath_of_fate","Zorn des Schicksals"
"specials.name.wrath_of_frozen_soul","Zorn der gefrorenen Seele"
"specials.name.wrath_of_the_ancient","Zorn der Alten"
"specials.name.wrath_of_the_nine_beaks","Zorn der neun Schnäbel"
"specials.name.wrath_of_tundra","Zorn der Tundra"
"specials.name.wrathful_sting","Zorniger Stich"
"specials.name.wrenching_strike","Qualvoller Schlag"
"specials.name.xenda_special","Unterweltbrand"
"specials.name.xenda_special_costume","Unterweltflamme"
"specials.name.yellow_beetloid_bite","Biss des gelben Käferoids"
"specials.name.yellow_signs","Gelbe Schilder"
"specials.name.yurei","Yurei"
"specials.name.zombie_curse","Zombiesegen"
"specials.name.zombie_invocation","Zombiebeschwörung"
"specials.name.zooming_lunge","Vergrößernder Ausfall"
