"heroes.name_fancy.astral_cosmicspeaker","القزم النجمي عالم الفلك"
"heroes.name_fancy.tales1_ephyra_costume_reef","أميرة المرجان"
"heroes.name_fancy.tales1_galapago","حكيم المحيطات"
"heroes.name_fancy.tales1_galapago_costume_quarry","الدوار الحكيم للمحجر"
"heroes.name_fancy.tales1_gelert","صائد كنوز الأعماق"
"heroes.name_fancy.tales1_gelert_costume_scavenger","نباش الأعماق"
"heroes.name_fancy.tales1_gestalt","أمير الأعماق الأزلية"
"heroes.name_fancy.tales1_gestalt_costume_pearls","أمير اللآلئ الأبدية"
"heroes.name_fancy.tales1_jaco","تاجر الأعماق المراوغ"
"heroes.name_fancy.tales1_jaco_costume_alchemist","كيميائي الأعماق المراوغ"
"heroes.name_fancy.tales1_lasalle","خيَّال أطلانطس الأنيق"
"heroes.name_fancy.tales1_lasalle_costume_jockey","خيَّال أطلانطس الأنيق"
"heroes.name_fancy.tales1_medea","ملكة الأعماق الناغا"
"heroes.name_fancy.tales1_medea_costume_goddess","الناغا سيدة الأعماق"
"heroes.name_fancy.tales1_mulgog","الرجل السمكة المغير"
"heroes.name_fancy.tales1_mulgog_costume_bard","الشاعر السمكة"
"heroes.name_fancy.tales1_persa","روح النهب المائية"
"heroes.name_fancy.tales1_persa_costume_jellyfish_noble","القنديل النبيل"
"heroes.name_fancy.tales1_phorcys","إله الأعماق الأزلي"
"heroes.name_fancy.tales1_phorcys_costume_warrior_god","محارب الأعماق السماوي"
"heroes.name_fancy.tales1_sharkhai","الخائن الأكبر"
"heroes.name_fancy.tales1_sharkhai_costume_butcher","الجزار الدموي"
"heroes.name_fancy.tales1_spartoi","هائج الناغا"
"heroes.name_fancy.tales1_spartoi_costume_guard","حارس الناغا"
"heroes.name_fancy.tales1_thalassa","إلهة المحيطات الأزلية"
"heroes.name_fancy.tales1_thalassa_costume_crystals","إلهة البلورات الأزلية"
"heroes.name_fancy.tales1_ultrox","حامي معبد الأعماق"
"heroes.name_fancy.tales1_ultrox_costume_ethereal","مصاص الأعماق"
"heroes.name_fancy.tales2_aethslegaur","ساعي النار القزم"
"heroes.name_fancy.tales2_andvari","العرافة القزمة"
"heroes.name_fancy.tales2_bragi","المقاتل القزم"
"heroes.name_fancy.tales2_bryggvir","القزم راكب الماعز"
"heroes.name_fancy.tales2_dagr","شامان جبل الأقزام"
"heroes.name_fancy.tales2_dain","القزم خبير الحصار"
"heroes.name_fancy.tales2_dularfulr","العرافة الغامضة القزمة"
"heroes.name_fancy.tales2_fafnir","القزم لورد ميركهايم"
"heroes.name_fancy.tales2_fimafeng","قزم مكافح للبقاء"
"heroes.name_fancy.tales2_fjalar","سكالد الذهبي القزم"
"heroes.name_fancy.tales2_fjalar_costume_undead","سكالد شبحي قزم"
"heroes.name_fancy.tales2_gandr","محارب الرياح القزم"
"heroes.name_fancy.tales2_gandr_costume_guardian","جندي ملكي قزم"
"heroes.name_fancy.tales2_helgi","عداء الغضب القزم"
"heroes.name_fancy.tales2_helgi_costume_combatant","مجدد قزم"
"heroes.name_fancy.tales2_hogne","الفارس القزم العظيم"
"heroes.name_fancy.tales2_hreidmarr","ملك جبل الأقزام"
"heroes.name_fancy.tales2_motsognir","قزم همجي"
"heroes.name_fancy.tales2_ott","القزم المرح المخادع"
"heroes.name_fancy.tales2_ott_costume_herbalist","مايسترو محتال قزم"
"heroes.name_fancy.tales2_regin","الأمير القزم الأسطوري"
"heroes.name_fancy.tales2_regin_costume_omen","أمير ساقط قزم"
"heroes.name_fancy.tales2_snorri","قزم روائي"
"heroes.name_fancy.tales2_svafa","قزم صائد للحيوانات الكبيرة"
"heroes.name_fancy.tales2_thrivaldi","القزم الباحث عن الصقيع"
"heroes.name_fancy.titan_hunter_adelitza","حارس الغابة المطيرة"
"heroes.name_fancy.titan_hunter_avestalon","صياد من الغابات المطيرة"
"heroes.name_fancy.titan_hunter_borgholf","صياد من البستان"
"heroes.name_fancy.titan_hunter_brachynd","حارس الخليج"
"heroes.name_fancy.titan_hunter_konradus","حارس تندرا"
"heroes.name_fancy.titan_hunter_lumi_and_taiga","حارس التندرا"
"heroes.name_fancy.titan_hunter_savanna","حارس البرية"
"heroes.name_fancy.trainer","سيف للإيجار"
"heroes.name_fancy.tribal_chief","زعيم القبائل"
"heroes.name_fancy.tribal_chief_costume_conqueror","منتقم القبائل"
"heroes.name_fancy.tribal_chief_costume_cute","قائد كرتون"
"heroes.name_fancy.tribal_chief_costume_glass","زعيم الفيتريل"
"heroes.name_fancy.tribal_chief_costume_leopard","قائد الفهود"
"heroes.name_fancy.undead_captain_warrior","السيد الهالك"
"heroes.name_fancy.undead_captain_warrior_costume_cute","كرتون الهالك"
"heroes.name_fancy.undead_captain_warrior_costume_glass","فيتريل القاتلة"
"heroes.name_fancy.undead_captain_warrior_costume_prince","الأمير الخالد"
"heroes.name_fancy.undead_captain_warrior_costume_reveller","المحتفل الهالك"
"heroes.name_fancy.undead_female_warrior","السيدة الهالكة"
"heroes.name_fancy.undead_female_warrior_costume_cute","الكرتونية الخالدة"
"heroes.name_fancy.undead_female_warrior_costume_glass","فيتريل القاتلة"
"heroes.name_fancy.undead_female_warrior_costume_princess","الأميرة الخالدة"
"heroes.name_fancy.undead_female_warrior_costume_rococo","الأميرة الهالكة"
"heroes.name_fancy.undead_horned_skeleton","البقية المتعنتة"
"heroes.name_fancy.undead_horned_skeleton_costume_cute","الكرتوني العنيد"
"heroes.name_fancy.undead_horned_skeleton_costume_fool","بقايا المهرج"
"heroes.name_fancy.undead_horned_skeleton_costume_glass","فيتريل العنيد"
"heroes.name_fancy.undead_running_skeleton","البقية الرصينة"
"heroes.name_fancy.undead_running_skeleton_costume_cute","الكرتونية الجليلة"
"heroes.name_fancy.undead_running_skeleton_costume_glass","بقايا الزجاج"
"heroes.name_fancy.undead_running_skeleton_costume_roman","الباقي الروماني"
"heroes.name_fancy.undead_screaming_zombie","البقية المتثاقلة"
"heroes.name_fancy.underworld_champion","الحرس الشخصي البريتوري"
"heroes.name_fancy.underworld_champion_costume_champion","المصارع البريتوري"
"heroes.name_fancy.underworld_champion_costume_cute","بريتوري كرتوني"
"heroes.name_fancy.underworld_champion_costume_glass","فيتريل بريتوري"
"heroes.name_fancy.underworld_champion_costume_stylish","الحارس الأنيق"
"heroes.name_fancy.underworld_champion_costume_vampire","مصاص الدماء البريتوري"
"heroes.name_fancy.valentines_anteros","عودة كيوبيد سيد الحب"
"heroes.name_fancy.valentines_cupido","كيوبيد المودة"
"heroes.name_fancy.valentines_cupido_costume_flame","كيوبيد العاطفة النارية"
"heroes.name_fancy.valentines_elba","حامي الحب القوي"
"heroes.name_fancy.valentines_eros","كيوبيد الرغبة"
"heroes.name_fancy.valentines_himeros","كيوبيد الحب غير المتبادل"
"heroes.name_fancy.valentines_kabeiroi","مهووس الآلات الواقع في الحب"
"heroes.name_fancy.valentines_lempi","كيوبيد صباح الشتاء"
"heroes.name_fancy.valentines_matchmaker_dodgrom","أوركيش مستشار العلاقات"
"heroes.name_fancy.valentines_phthonus","كيوبيد الحسد"
"heroes.name_fancy.valentines_vernon","كيوبيد قلب الغابة"
"heroes.name_fancy.valentines_voluptas","كيوبيد السعادة"
"heroes.name_fancy.valentines_voluptas_costume_paint","كيوبيد الرسام"
"heroes.name_fancy.valentines_zarola","كيوبيد محطمي القلوب"
"heroes.name_fancy.valentines_zarola_costume_cowboy","كيوبيد الحارس الوحيد"
"heroes.name_fancy.vampire_king","ملك مصاصي الدماء"
"heroes.name_fancy.vampire_king_costume_mafia","ملك الجريمة"
"heroes.name_fancy.vampire_lord","نصير مصاص الدماء"
"heroes.name_fancy.vampire_queen","طفل الليل"
"heroes.name_fancy.vegetable_bartholomew","بربري الفلفل"
"heroes.name_fancy.vegetable_broseph","شامان البروكلي"
"heroes.name_fancy.vegetable_caleb","جندي الكرنب"
"heroes.name_fancy.vegetable_elsbeth","فارس الشمندر"
"heroes.name_fancy.vegetable_indigon","بطل الفطر الغاضب"
"heroes.name_fancy.vegetable_onwyn","قاطع طريق البصل"
"heroes.name_fancy.vegetable_pineon","معجزة الأناناس"
"heroes.name_fancy.villain_asterius","مينوتور المتوحش"
"heroes.name_fancy.villain_crystalis","إمبراطورة الكريستال"
"heroes.name_fancy.villain_dark_lord","هلاك كارمدول"
"heroes.name_fancy.villain_dark_lord_costume_astronomer","فلكي كارمدول"
"heroes.name_fancy.villain_edd","السفاح المعتوه"
"heroes.name_fancy.villain_ingolf","هيرسير الهالك"
"heroes.name_fancy.villain_isrod","جارل الهالك"
"heroes.name_fancy.villain_karnov","المقاتل البطل"
"heroes.name_fancy.villain_karnov_costume_jammies","ملاكم وقت النوم"
"heroes.name_fancy.villain_sanngrior","فالكيري المنهزمة"
"heroes.name_fancy.villain_skrekok","الرجل الجرذ الوغد"
"heroes.name_fancy.villain_toxicandra","حاكم سيربيرا"
"heroes.name_fancy.villain_toxicandra_costume_rose","حاكمة فلورا"
"heroes.name_fancy.wild_cat_catalina","تاج الأدغال"
"heroes.name_fancy.wild_cat_ferni","قطة الغابات المطيرة المغامرة"
"heroes.name_fancy.wild_cat_gitnib","صياد دجلة غير المحظوظ"
"heroes.name_fancy.wild_cat_imagus","النجمي الناعم"
"heroes.name_fancy.wild_cat_lennart","القط البري اليقظ"
"heroes.name_fancy.wild_cat_leonie","الناجي ليور"
"heroes.name_fancy.wild_cat_marnes","النمر مفترس أجنحة الجيوش"
"heroes.name_fancy.wild_cat_rajesh","الشيف النمر النهم"
"heroes.name_fancy.wild_cat_rawn","الكوجر اللصة"
"heroes.name_fancy.wild_cat_savann","قطة وادي الشمس"
"heroes.name_fancy.wild_cat_sharalen","وشق الخطوط الأمامية الشرس"
"heroes.name_fancy.wild_cat_stravia","مرسال الشينتاري"
"heroes.name_fancy.wild_cat_thaffer","قط تابي مقتحم الخزائن"
"heroes.name_fancy.wild_cat_tunes","موسيقي القط الجبلي"
"heroes.name_fancy.wild_cat_vernix","الساحرة نمراء الثلوج"
"heroes.name_fancy.witch_king","سيد السراديب"
"heroes.name_fancy.witch_king_costume_cosmic","مشعوذ كوني"
"heroes.name_fancy.wonderland_alice","مغامر بلاد العجائب"
"heroes.name_fancy.wonderland_alice_costume_warping","أميرة الكروكيه في بلاد العجائب"
"heroes.name_fancy.wonderland_bear","وحش بلاد العجائب"
"heroes.name_fancy.wonderland_captain","مخادع بلاد العجائب"
"heroes.name_fancy.wonderland_cheshire_cat","القطة كيتي المزعجة"
"heroes.name_fancy.wonderland_cheshire_cat_costume_malicious","القطة الخبيثة"
"heroes.name_fancy.wonderland_hatter","غامض بلاد العجائب"
"heroes.name_fancy.wonderland_hatter_costume_tea","ذواقة الشاي في بلاد العجائب"
"heroes.name_fancy.wonderland_jabberwocky","رعب بلاد العجائب"
"heroes.name_fancy.wonderland_jabberwocky_costume_moth","جابرموث"
"heroes.name_fancy.wonderland_knave_of_hearts","لص بلاد العجائب"
"heroes.name_fancy.wonderland_phoenicus","حكمة بلاد العجائب"
"heroes.name_fancy.wonderland_queen","عاهل بلاد العجائب"
"heroes.name_fancy.wonderland_queen_costume_benefactor","محسن بلاد العجائب"
"heroes.name_fancy.wonderland_tweedles","توأم بلاد العجائب"
"heroes.name_fancy.wonderland_white_rabbit","دليل بلاد العجائب"
"heroes.name_fancy.wonderland_white_rabbit_costume_mask","قناع الجنون"
